,open,high,low,close,volume,Ticker,timestamp,sentiment_score
279175,164.47,164.47,163.9,164.0,7485,AAPL,2023-04-03 04:05:00,0.9892980009317398
279176,163.93,163.93,163.85,163.85,1149,AAPL,2023-04-03 04:10:00,0.9981344938278198
279177,163.87,163.9,163.81,163.81,2829,AAPL,2023-04-03 04:15:00,0.9483881890773773
279178,163.87,163.9,163.85,163.9,2954,AAPL,2023-04-03 04:20:00,0.8933679262797037
279180,164.0,164.0,163.81,163.81,10751,AAPL,2023-04-03 04:30:00,0.955321470896403
279181,163.85,163.86,163.81,163.81,4442,AAPL,2023-04-03 04:35:00,0.9938641289869944
279182,163.84,163.89,163.8,163.85,3175,AAPL,2023-04-03 04:40:00,0.9988834261894226
279183,163.85,163.85,163.73,163.73,2459,AAPL,2023-04-03 04:45:00,0.9920680284500122
279184,163.78,163.78,163.73,163.78,860,AAPL,2023-04-03 04:50:00,0.996454507112503
279185,163.82,163.82,163.75,163.75,742,AAPL,2023-04-03 04:55:00,0.8618317246437073
279186,163.79,163.87,163.79,163.8,1548,AAPL,2023-04-03 05:05:00,0.9917173624038697
279187,163.81,163.86,163.81,163.86,490,AAPL,2023-04-03 05:10:00,0.9885963201522827
279188,163.81,163.91,163.81,163.91,1281,AAPL,2023-04-03 05:15:00,0.98984956741333
279189,163.9,163.98,163.9,163.98,1846,AAPL,2023-04-03 05:20:00,0.9934576153755188
279190,163.88,163.9,163.88,163.88,1645,AAPL,2023-04-03 05:25:00,0.996118426322937
279191,163.88,163.88,163.88,163.88,4451,AAPL,2023-04-03 05:30:00,0.9976927439371744
279193,163.96,163.96,163.95,163.95,744,AAPL,2023-04-03 06:10:00,0.9884844422340392
279195,163.98,163.98,163.98,163.98,214,AAPL,2023-04-03 06:20:00,0.9992817342281342
279198,163.91,163.91,163.91,163.91,536,AAPL,2023-04-03 06:35:00,0.8411292433738708
279199,163.87,163.92,163.87,163.91,2502,AAPL,2023-04-03 06:40:00,0.9887356162071228
279200,163.94,164.04,163.94,164.0,9865,AAPL,2023-04-03 06:45:00,0.9919410347938539
279202,164.03,164.04,164.0,164.0,2264,AAPL,2023-04-03 06:55:00,0.9994277358055116
279203,164.0,164.0,163.94,163.95,4422,AAPL,2023-04-03 07:00:00,0.9822893440723419
279204,163.94,164.32,163.94,164.1,38106,AAPL,2023-04-03 07:05:00,0.9895162979761759
279205,164.1,164.2,164.1,164.1,16106,AAPL,2023-04-03 07:10:00,0.9908197323481241
279206,164.12,164.15,164.12,164.15,3368,AAPL,2023-04-03 07:15:00,0.9918770790100098
279207,164.13,164.35,164.13,164.35,3636,AAPL,2023-04-03 07:20:00,0.9958574771881104
279208,164.35,164.35,164.29,164.29,585,AAPL,2023-04-03 07:25:00,0.9955942034721376
279209,164.26,164.26,164.15,164.18,3682,AAPL,2023-04-03 07:30:00,0.9949076473712921
279210,164.19,164.23,164.11,164.11,9449,AAPL,2023-04-03 07:35:00,0.9951293468475342
279211,164.12,164.13,164.07,164.07,8178,AAPL,2023-04-03 07:40:00,0.9826699296633402
279212,164.04,164.05,164.0,164.01,6512,AAPL,2023-04-03 07:45:00,0.9939858913421632
279213,164.0,164.0,163.95,164.0,5151,AAPL,2023-04-03 07:50:00,0.976601541042328
279214,164.0,164.04,164.0,164.03,3335,AAPL,2023-04-03 07:55:00,0.9975637197494508
279215,164.09,164.11,164.09,164.09,2667,AAPL,2023-04-03 08:00:00,0.9986245632171632
279216,164.0691,164.488,163.35,164.05,105212,AAPL,2023-04-03 08:05:00,0.9726508855819702
279218,163.98,164.0,163.9,163.96,26184,AAPL,2023-04-03 08:15:00,0.925821453332901
279219,163.9,163.95,163.9,163.94,14774,AAPL,2023-04-03 08:20:00,0.9985670447349548
279220,163.94,163.98,163.94,163.97,2978,AAPL,2023-04-03 08:25:00,0.9955942034721376
279221,163.96,164.03,163.95,163.97,16204,AAPL,2023-04-03 08:30:00,0.9665495753288269
279222,163.95,163.97,163.8,163.85,28947,AAPL,2023-04-03 08:35:00,0.9965930581092834
279223,163.82,163.85,163.75,163.85,15919,AAPL,2023-04-03 08:40:00,0.9942072331905365
279226,163.88,163.9,163.8429,163.9,29682,AAPL,2023-04-03 08:55:00,0.9893159866333008
279227,163.95,164.2,163.94,164.14,30700,AAPL,2023-04-03 09:00:00,0.8738338152567545
279228,164.14,164.1684,164.13,164.1684,4734,AAPL,2023-04-03 09:05:00,0.9867062369982401
279229,164.17,164.24,164.14,164.2,16794,AAPL,2023-04-03 09:10:00,0.9970701932907104
279230,164.2,164.24,164.11,164.22,17191,AAPL,2023-04-03 09:15:00,0.9921754002571106
279231,164.23,164.39,164.2001,164.24,13541,AAPL,2023-04-03 09:20:00,0.9661933779716492
279233,164.06,164.35,163.88,164.28,61850,AAPL,2023-04-03 09:30:00,0.9887727349996567
279234,164.27,165.56,164.22,165.4967,3160264,AAPL,2023-04-03 09:35:00,0.9936283588409424
279235,165.495,165.8499,165.36,165.725,1398775,AAPL,2023-04-03 09:40:00,0.9893500089645386
279236,165.7323,165.7323,165.44,165.45,1077348,AAPL,2023-04-03 09:45:00,0.9885175228118896
279237,165.44,165.87,165.23,165.87,1138977,AAPL,2023-04-03 09:50:00,0.9895331263542176
279238,165.87,165.89,165.27,165.3,1160258,AAPL,2023-04-03 09:55:00,0.9961344003677368
279239,165.29,165.48,165.28,165.315,680079,AAPL,2023-04-03 10:00:00,0.9941756129264832
279240,165.315,165.725,165.23,165.4202,1020179,AAPL,2023-04-03 10:05:00,0.9937919974327089
279241,165.44,165.4986,165.17,165.42,769157,AAPL,2023-04-03 10:10:00,0.9847176671028136
279242,165.4114,165.498,165.27,165.45,531387,AAPL,2023-04-03 10:15:00,0.9896861612796783
279243,165.4401,165.54,165.21,165.25,690087,AAPL,2023-04-03 10:20:00,0.999197781085968
279244,165.25,165.63,165.17,165.5607,811172,AAPL,2023-04-03 10:25:00,0.9971750676631927
279245,165.565,165.59,165.24,165.36,563905,AAPL,2023-04-03 10:30:00,0.9937348127365112
279246,165.36,165.58,165.32,165.57,550508,AAPL,2023-04-03 10:35:00,0.9741279780864716
279247,165.58,165.63,165.23,165.27,556079,AAPL,2023-04-03 10:40:00,0.9677996039390564
279248,165.265,165.475,165.13,165.375,567893,AAPL,2023-04-03 10:45:00,0.976601541042328
279249,165.38,165.4,164.8201,164.95,887202,AAPL,2023-04-03 10:50:00,0.9962148070335388
279250,164.94,165.0,164.67,164.89,700555,AAPL,2023-04-03 10:55:00,0.9923252065976461
279251,164.9,164.96,164.71,164.8,554980,AAPL,2023-04-03 11:00:00,0.9676792740821838
279252,164.81,164.97,164.78,164.84,434419,AAPL,2023-04-03 11:05:00,0.9883573452631632
279253,164.82,164.9,164.56,164.63,561974,AAPL,2023-04-03 11:10:00,0.9964842796325684
279254,164.62,164.62,164.34,164.46,510039,AAPL,2023-04-03 11:15:00,0.9902065694332123
279255,164.46,164.615,164.32,164.58,538772,AAPL,2023-04-03 11:20:00,0.9872538555752147
279256,164.57,164.825,164.57,164.7562,512747,AAPL,2023-04-03 11:25:00,0.9708480586608251
279257,164.7516,164.8,164.62,164.63,330859,AAPL,2023-04-03 11:30:00,0.9536212845282122
279258,164.64,164.78,164.58,164.6401,357710,AAPL,2023-04-03 11:35:00,0.9850751236081123
279259,164.65,164.69,164.51,164.59,329604,AAPL,2023-04-03 11:40:00,0.890716016292572
279260,164.6,164.61,164.39,164.423,349151,AAPL,2023-04-03 11:45:00,0.9881011843681335
279261,164.42,164.58,164.41,164.54,326059,AAPL,2023-04-03 11:50:00,0.960577164377485
279262,164.54,164.55,164.405,164.43,230548,AAPL,2023-04-03 11:55:00,0.9088363170623779
279263,164.425,164.54,164.405,164.53,252389,AAPL,2023-04-03 12:00:00,0.9658249735832214
279264,164.53,164.6,164.41,164.5899,317844,AAPL,2023-04-03 12:05:00,0.9978269934654236
279265,164.5884,164.7,164.51,164.65,342539,AAPL,2023-04-03 12:10:00,0.9296233057975769
279266,164.645,164.74,164.615,164.68,288913,AAPL,2023-04-03 12:15:00,0.9818823784589767
279267,164.69,164.73,164.59,164.68,337053,AAPL,2023-04-03 12:20:00,0.9986191987991332
