,open,high,low,close,volume,Ticker,timestamp,sentiment_score
81330,287.48,287.48,283.88,286.7,9079,MSFT,2023-04-03 04:05:00,0.9977397918701172
81331,286.67,286.69,286.5,286.5,5136,MSFT,2023-04-03 04:10:00,0.9844552278518677
81332,286.56,286.58,286.4,286.4,1623,MSFT,2023-04-03 04:15:00,0.9746415019035339
81333,286.11,286.11,286.08,286.08,1889,MSFT,2023-04-03 04:20:00,0.9164800643920898
81334,286.0,286.0,285.65,285.65,2000,MSFT,2023-04-03 04:25:00,0.9797612190246582
81336,285.66,285.7,285.66,285.7,362,MSFT,2023-04-03 04:35:00,0.9629496932029724
81337,285.8,286.0,285.5,285.5,4356,MSFT,2023-04-03 04:40:00,0.9932082653045654
81338,285.66,285.66,285.5,285.5,721,MSFT,2023-04-03 04:45:00,0.8302730123202006
81339,285.77,285.78,285.64,285.78,2611,MSFT,2023-04-03 04:50:00,0.9822941919167837
81340,285.8,285.81,285.71,285.71,1678,MSFT,2023-04-03 04:55:00,0.9874070286750793
81341,285.65,285.65,285.64,285.64,835,MSFT,2023-04-03 05:00:00,0.9891966581344604
81342,285.78,285.8,285.78,285.8,1815,MSFT,2023-04-03 05:05:00,0.9854228794574738
81343,285.87,286.1,285.87,286.1,1983,MSFT,2023-04-03 05:10:00,0.9465956687927246
81344,286.1,286.1,286.1,286.1,461,MSFT,2023-04-03 05:20:00,0.9953957498073578
81345,286.16,286.16,286.16,286.16,614,MSFT,2023-04-03 05:25:00,0.9393476512697008
81346,285.93,285.93,285.92,285.92,351,MSFT,2023-04-03 05:50:00,0.8921791791915894
81347,285.99,286.2,285.99,286.2,577,MSFT,2023-04-03 06:05:00,0.9534232169389725
81348,286.2,286.3,286.1,286.1,1575,MSFT,2023-04-03 06:30:00,0.9910182356834412
81349,286.3,286.4,286.3,286.4,1221,MSFT,2023-04-03 06:35:00,0.9933072328567505
81350,286.4,286.4,286.23,286.23,2873,MSFT,2023-04-03 06:40:00,0.9987093210220336
81351,286.2,286.21,286.12,286.12,1906,MSFT,2023-04-03 06:45:00,0.9955647587776184
81352,286.23,286.5,286.23,286.5,1166,MSFT,2023-04-03 06:55:00,0.986880898475647
81353,286.11,286.2,286.11,286.2,2493,MSFT,2023-04-03 07:00:00,0.9856567680835724
81354,286.34,286.66,286.25,286.38,11326,MSFT,2023-04-03 07:05:00,0.9866482973098755
81355,286.27,286.48,286.27,286.29,7707,MSFT,2023-04-03 07:10:00,0.9162506937980652
81356,286.4,286.4,286.28,286.39,4552,MSFT,2023-04-03 07:15:00,0.9869455695152283
81357,286.39,286.44,286.39,286.44,2820,MSFT,2023-04-03 07:20:00,0.989420493443807
81358,286.3,286.3,286.14,286.14,1822,MSFT,2023-04-03 07:30:00,0.9964067339897156
81359,286.1,286.2,286.0,286.0,4867,MSFT,2023-04-03 07:35:00,0.9678162336349487
81360,285.95,285.95,285.66,285.69,4600,MSFT,2023-04-03 07:40:00,0.983126699924469
81361,285.71,285.98,285.71,285.98,965,MSFT,2023-04-03 07:45:00,0.9925221651792526
81362,286.01,286.01,285.9,285.94,4035,MSFT,2023-04-03 07:50:00,0.9924690425395966
81363,286.0,286.0,285.9,286.0,5966,MSFT,2023-04-03 07:55:00,0.996750831604004
81364,286.1,286.1,286.05,286.1,3376,MSFT,2023-04-03 08:00:00,0.9696916788816452
81365,286.35,286.79,284.86,285.9,52025,MSFT,2023-04-03 08:05:00,0.962462862332662
81366,285.805,286.0,285.75,285.75,5280,MSFT,2023-04-03 08:10:00,0.8943306008974711
81367,285.9,285.9399,285.25,285.25,13218,MSFT,2023-04-03 08:15:00,0.9859437793493271
81368,285.4,285.4,285.25,285.25,6042,MSFT,2023-04-03 08:20:00,0.8813886940479279
81370,285.4,285.4,285.03,285.03,28459,MSFT,2023-04-03 08:30:00,0.8663819432258606
81371,285.2,285.32,285.02,285.32,13671,MSFT,2023-04-03 08:35:00,0.9939496517181396
81372,285.4,285.4,285.23,285.29,15951,MSFT,2023-04-03 08:40:00,0.9384838683264596
81373,285.27,285.4,285.26,285.4,8612,MSFT,2023-04-03 08:45:00,0.9948148727416992
81374,285.39,285.4,285.35,285.4,6465,MSFT,2023-04-03 08:50:00,0.9088562726974487
81375,285.4,285.4,285.18,285.28,5018,MSFT,2023-04-03 08:55:00,0.9866509437561035
81376,285.4,285.4,285.25,285.4,35120,MSFT,2023-04-03 09:00:00,0.9393701255321503
81377,285.4,285.76,285.4,285.76,13557,MSFT,2023-04-03 09:05:00,0.9960626661777496
81378,285.8,286.19,285.75,286.19,17162,MSFT,2023-04-03 09:10:00,0.9961642026901244
81379,286.16,286.16,285.77,285.99,22792,MSFT,2023-04-03 09:15:00,0.9382384518782297
81381,286.07,286.1,285.9,286.01,9199,MSFT,2023-04-03 09:25:00,0.9976139068603516
81382,285.89,286.68,285.85,286.51,21752,MSFT,2023-04-03 09:30:00,0.9225701292355856
81383,286.52,286.68,285.24,285.7,1087749,MSFT,2023-04-03 09:35:00,0.994667112827301
81384,285.7,287.22,285.55,287.065,727817,MSFT,2023-04-03 09:40:00,0.8545844753583273
81385,287.09,287.38,286.865,287.13,640966,MSFT,2023-04-03 09:45:00,0.987495630979538
81386,287.09,287.9,287.07,287.62,454255,MSFT,2023-04-03 09:50:00,0.9985368847846986
81388,287.26,287.84,287.03,287.05,397605,MSFT,2023-04-03 10:00:00,0.8699982762336731
81390,287.62,287.68,286.96,287.36,309856,MSFT,2023-04-03 10:10:00,0.9983439445495604
81391,287.36,287.845,287.03,287.8065,214736,MSFT,2023-04-03 10:15:00,0.992365550994873
81392,287.805,288.07,287.6,287.94,379890,MSFT,2023-04-03 10:20:00,0.983174721399943
81393,287.95,288.27,287.67,288.12,320623,MSFT,2023-04-03 10:25:00,0.8743971784909567
81394,288.11,288.12,287.78,287.92,261008,MSFT,2023-04-03 10:30:00,0.9341918081045151
81395,287.915,288.05,287.595,287.9279,226819,MSFT,2023-04-03 10:35:00,0.9812293291091919
81396,287.93,288.0,287.29,287.2918,251407,MSFT,2023-04-03 10:40:00,0.9966388089316232
81397,287.26,287.5138,287.1972,287.27,229153,MSFT,2023-04-03 10:45:00,0.787784218788147
81399,286.43,286.6,286.06,286.279,282459,MSFT,2023-04-03 10:55:00,0.993582546710968
81400,286.28,286.395,285.77,285.8,406355,MSFT,2023-04-03 11:00:00,0.9923561470849174
81401,285.81,286.01,285.43,285.77,311535,MSFT,2023-04-03 11:05:00,0.9702638387680054
