,open,high,low,close,volume,Ticker,Date
279175,164.47,164.47,163.9,164.0,7485,AAPL,2023-04-03 04:05:00
279176,163.93,163.93,163.85,163.85,1149,AAPL,2023-04-03 04:10:00
279177,163.87,163.9,163.81,163.81,2829,AAPL,2023-04-03 04:15:00
279178,163.87,163.9,163.85,163.9,2954,AAPL,2023-04-03 04:20:00
279180,164.0,164.0,163.81,163.81,10751,AAPL,2023-04-03 04:30:00
279181,163.85,163.86,163.81,163.81,4442,AAPL,2023-04-03 04:35:00
279182,163.84,163.89,163.8,163.85,3175,AAPL,2023-04-03 04:40:00
279183,163.85,163.85,163.73,163.73,2459,AAPL,2023-04-03 04:45:00
279184,163.78,163.78,163.73,163.78,860,AAPL,2023-04-03 04:50:00
279185,163.82,163.82,163.75,163.75,742,AAPL,2023-04-03 04:55:00
279186,163.79,163.87,163.79,163.8,1548,AAPL,2023-04-03 05:05:00
279187,163.81,163.86,163.81,163.86,490,AAPL,2023-04-03 05:10:00
279188,163.81,163.91,163.81,163.91,1281,AAPL,2023-04-03 05:15:00
279189,163.9,163.98,163.9,163.98,1846,AAPL,2023-04-03 05:20:00
279190,163.88,163.9,163.88,163.88,1645,AAPL,2023-04-03 05:25:00
279191,163.88,163.88,163.88,163.88,4451,AAPL,2023-04-03 05:30:00
279193,163.96,163.96,163.95,163.95,744,AAPL,2023-04-03 06:10:00
279195,163.98,163.98,163.98,163.98,214,AAPL,2023-04-03 06:20:00
279198,163.91,163.91,163.91,163.91,536,AAPL,2023-04-03 06:35:00
279199,163.87,163.92,163.87,163.91,2502,AAPL,2023-04-03 06:40:00
279200,163.94,164.04,163.94,164.0,9865,AAPL,2023-04-03 06:45:00
279202,164.03,164.04,164.0,164.0,2264,AAPL,2023-04-03 06:55:00
279203,164.0,164.0,163.94,163.95,4422,AAPL,2023-04-03 07:00:00
279204,163.94,164.32,163.94,164.1,38106,AAPL,2023-04-03 07:05:00
279205,164.1,164.2,164.1,164.1,16106,AAPL,2023-04-03 07:10:00
