,open,high,low,close,volume,Ticker,Date
341154,123.5,123.5,123.4,123.41,1291,ABNB,2023-04-03 07:40:00
341155,123.59,123.59,123.4,123.4,457,ABNB,2023-04-03 07:45:00
341156,123.3,123.3,123.3,123.3,191,ABNB,2023-04-03 07:50:00
341158,123.4505,123.77,123.2,123.2,2682,ABNB,2023-04-03 08:05:00
341159,123.1,123.1,123.1,123.1,801,ABNB,2023-04-03 08:15:00
341160,123.3,123.4,122.9,122.9,2268,ABNB,2023-04-03 08:35:00
341161,122.96,122.96,122.96,122.96,1149,ABNB,2023-04-03 08:45:00
341162,123.15,123.15,123.15,123.15,300,ABNB,2023-04-03 08:55:00
341163,123.2,123.2,123.05,123.05,4048,ABNB,2023-04-03 09:00:00
341167,123.11,123.11,123.1,123.1,424,ABNB,2023-04-03 09:25:00
341169,123.0,123.09,121.65,122.21,256846,ABNB,2023-04-03 09:35:00
341172,120.8,121.89,120.74,121.5,94845,ABNB,2023-04-03 09:50:00
341173,121.54,121.6591,120.9329,121.22,104135,ABNB,2023-04-03 09:55:00
341175,120.79,121.11,120.53,120.865,66476,ABNB,2023-04-03 10:05:00
341181,121.33,121.515,121.0301,121.435,49522,ABNB,2023-04-03 10:35:00
341182,121.44,121.54,120.85,120.9101,43596,ABNB,2023-04-03 10:40:00
341184,120.61,120.74,120.32,120.34,66518,ABNB,2023-04-03 10:50:00
341185,120.35,120.4,120.01,120.21,77106,ABNB,2023-04-03 10:55:00
341186,120.18,120.24,119.86,119.9376,110644,ABNB,2023-04-03 11:00:00
341188,120.2,120.235,119.875,119.985,88770,ABNB,2023-04-03 11:10:00
341190,119.95,120.22,119.81,120.0888,67182,ABNB,2023-04-03 11:20:00
341192,120.13,120.37,120.03,120.32,62583,ABNB,2023-04-03 11:30:00
341194,120.35,120.38,120.1285,120.14,42336,ABNB,2023-04-03 11:40:00
341195,120.15,120.28,120.04,120.04,37431,ABNB,2023-04-03 11:45:00
341197,120.4501,120.54,120.24,120.24,36200,ABNB,2023-04-03 11:55:00
341198,120.26,120.55,120.26,120.55,28763,ABNB,2023-04-03 12:00:00
341199,120.5245,121.08,120.48,121.02,41907,ABNB,2023-04-03 12:05:00
341209,120.7,120.82,120.55,120.57,15530,ABNB,2023-04-03 12:55:00
341210,120.53,120.66,120.47,120.47,17994,ABNB,2023-04-03 13:00:00
341211,120.47,120.57,120.37,120.515,19244,ABNB,2023-04-03 13:05:00
341214,120.92,120.9294,120.62,120.649,20241,ABNB,2023-04-03 13:20:00
