,open,high,low,close,volume,Ticker,Date
81330,287.48,287.48,283.88,286.7,9079,MSFT,2023-04-03 04:05:00
81331,286.67,286.69,286.5,286.5,5136,MSFT,2023-04-03 04:10:00
81332,286.56,286.58,286.4,286.4,1623,MSFT,2023-04-03 04:15:00
81333,286.11,286.11,286.08,286.08,1889,MSFT,2023-04-03 04:20:00
81334,286.0,286.0,285.65,285.65,2000,MSFT,2023-04-03 04:25:00
81336,285.66,285.7,285.66,285.7,362,MSFT,2023-04-03 04:35:00
81337,285.8,286.0,285.5,285.5,4356,MSFT,2023-04-03 04:40:00
81338,285.66,285.66,285.5,285.5,721,MSFT,2023-04-03 04:45:00
81339,285.77,285.78,285.64,285.78,2611,MSFT,2023-04-03 04:50:00
81340,285.8,285.81,285.71,285.71,1678,MSFT,2023-04-03 04:55:00
81341,285.65,285.65,285.64,285.64,835,MSFT,2023-04-03 05:00:00
81342,285.78,285.8,285.78,285.8,1815,MSFT,2023-04-03 05:05:00
81343,285.87,286.1,285.87,286.1,1983,MSFT,2023-04-03 05:10:00
81344,286.1,286.1,286.1,286.1,461,MSFT,2023-04-03 05:20:00
81345,286.16,286.16,286.16,286.16,614,MSFT,2023-04-03 05:25:00
81346,285.93,285.93,285.92,285.92,351,MSFT,2023-04-03 05:50:00
81347,285.99,286.2,285.99,286.2,577,MSFT,2023-04-03 06:05:00
81348,286.2,286.3,286.1,286.1,1575,MSFT,2023-04-03 06:30:00
81349,286.3,286.4,286.3,286.4,1221,MSFT,2023-04-03 06:35:00
81350,286.4,286.4,286.23,286.23,2873,MSFT,2023-04-03 06:40:00
81351,286.2,286.21,286.12,286.12,1906,MSFT,2023-04-03 06:45:00
81352,286.23,286.5,286.23,286.5,1166,MSFT,2023-04-03 06:55:00
81353,286.11,286.2,286.11,286.2,2493,MSFT,2023-04-03 07:00:00
81354,286.34,286.66,286.25,286.38,11326,MSFT,2023-04-03 07:05:00
81355,286.27,286.48,286.27,286.29,7707,MSFT,2023-04-03 07:10:00
81356,286.4,286.4,286.28,286.39,4552,MSFT,2023-04-03 07:15:00
81357,286.39,286.44,286.39,286.44,2820,MSFT,2023-04-03 07:20:00
81358,286.3,286.3,286.14,286.14,1822,MSFT,2023-04-03 07:30:00
81359,286.1,286.2,286.0,286.0,4867,MSFT,2023-04-03 07:35:00
81360,285.95,285.95,285.66,285.69,4600,MSFT,2023-04-03 07:40:00
81361,285.71,285.98,285.71,285.98,965,MSFT,2023-04-03 07:45:00
81362,286.01,286.01,285.9,285.94,4035,MSFT,2023-04-03 07:50:00
81363,286.0,286.0,285.9,286.0,5966,MSFT,2023-04-03 07:55:00
81364,286.1,286.1,286.05,286.1,3376,MSFT,2023-04-03 08:00:00
81365,286.35,286.79,284.86,285.9,52025,MSFT,2023-04-03 08:05:00
